epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7956,0.6846,1.16312,1.7405,1.11927,0,0.00346,0.96429,0.50852,0.34086,0.00321,0.89286,0.48685,0.34599,0.85242,2.42192,2.61943,1.39963,0,0.000649123,0.000649123,0.000649123
2,38.7941,0.72827,0.8493,1.25148,1.12784,0,1,0.61921,0.82448,0.43046,1,0.61921,0.82028,0.65648,1.2035,2.34086,2.29441,1.57309,0,0.00129951,0.00129951,0.00129951
3,58.1048,0.85252,0.93262,1.22159,1.14628,0,0.58881,0.67857,0.62702,0.35153,0.58881,0.67857,0.60199,0.43836,1.31223,3.03585,2.10506,1.83926,0,0.00193339,0.00193339,0.00193339
4,77.1348,0.8216,1.07637,1.23683,1.16287,0,0.85291,0.78571,0.84238,0.53217,0.81414,0.75,0.75899,0.39399,1.12126,4.49793,2.17336,1.74218,0,0.00192575,0.00192575,0.00192575
5,96.1978,0.75896,0.9114,1.14788,1.11025,0,0.88227,0.67857,0.76244,0.46779,0.88227,0.67857,0.78299,0.61757,1.30332,1.92107,1.71566,1.89885,0,0.001901,0.001901,0.001901
6,115.304,0.76336,0.84321,1.06111,1.11854,0,0.69544,0.64286,0.72188,0.41254,0.78044,0.63501,0.71508,0.36223,1.30756,4.2568,1.81993,1.79339,0,0.00187625,0.00187625,0.00187625
7,134.363,0.70681,0.75783,0.95991,1.08817,0,0.61953,0.63979,0.62823,0.38589,0.61953,0.63979,0.62585,0.44195,1.27006,2.67763,2.1133,1.79443,0,0.0018515,0.0018515,0.0018515
8,153.737,0.68606,0.73672,0.96241,1.0444,0,0.87999,0.82143,0.87864,0.52412,0.87999,0.82143,0.87738,0.68917,1.26408,3.47596,2.38725,1.81211,0,0.00182675,0.00182675,0.00182675
9,173.106,0.71974,0.73272,0.91546,1.06625,0,0.94461,0.82143,0.87363,0.64026,0.94461,0.82143,0.86645,0.76946,0.86747,1.45989,1.26985,1.35802,0,0.001802,0.001802,0.001802
10,192.09,0.6851,0.81657,0.89087,1.07013,0,0.90711,0.69791,0.78821,0.57472,0.90711,0.69791,0.81033,0.68256,0.95172,2.4365,1.35396,1.39426,0,0.00177725,0.00177725,0.00177725
11,211.225,0.64496,0.68479,0.86614,1.06489,0,0.98063,0.82143,0.85704,0.66822,0.98063,0.82143,0.87814,0.76214,0.84417,2.04418,1.08172,1.29301,0,0.0017525,0.0017525,0.0017525
12,230.46,0.67352,0.75319,0.84277,1.04514,0,0.95597,0.85714,0.88084,0.62511,0.95597,0.85714,0.88077,0.76384,0.9565,3.27459,1.15753,1.49463,0,0.00172775,0.00172775,0.00172775
13,249.584,0.64636,0.76992,0.8129,1.0213,0,0.95897,0.83517,0.87047,0.6622,0.95897,0.83517,0.87529,0.75752,0.85512,2.51995,1.11698,1.36019,0,0.001703,0.001703,0.001703
14,268.812,0.56826,0.64514,0.73624,1.03525,0,0.81155,0.82143,0.84369,0.57871,0.81155,0.82143,0.8289,0.63557,0.92642,2.53043,1.11469,1.37821,0,0.00167825,0.00167825,0.00167825
15,287.894,0.58287,0.62341,0.73633,1.00112,0,0.89088,0.87511,0.88216,0.63685,0.89088,0.87511,0.88216,0.74616,0.95678,1.99883,1.06136,1.39896,0,0.0016535,0.0016535,0.0016535
16,306.816,0.57397,0.60278,0.68887,0.99802,0,0.98885,0.82143,0.87333,0.61694,0.98885,0.82143,0.86312,0.71189,0.94769,1.79022,1.13776,1.3792,0,0.00162875,0.00162875,0.00162875
17,325.617,0.58808,0.60558,0.71696,1.0107,0,1,0.81294,0.86997,0.64309,1,0.81294,0.8678,0.77314,0.89512,2.6645,1.00325,1.3126,0,0.001604,0.001604,0.001604
18,344.707,0.5579,0.57818,0.67991,0.99056,0,0.90345,0.78571,0.84986,0.65516,0.90345,0.78571,0.84914,0.72941,0.91091,2.1422,0.99492,1.31701,0,0.00157925,0.00157925,0.00157925
19,363.839,0.55421,0.58447,0.65974,0.99182,0,0.99587,0.82143,0.88294,0.68118,0.99587,0.82143,0.88102,0.76644,0.81848,2.45697,0.89539,1.21301,0,0.0015545,0.0015545,0.0015545
20,382.951,0.58995,0.70961,0.65941,1.02131,0,0.91602,0.77938,0.84456,0.58241,0.91602,0.77938,0.83362,0.69468,0.92285,3.24179,1.10587,1.40735,0,0.00152975,0.00152975,0.00152975
21,401.907,0.54188,0.56605,0.64578,0.99624,0,0.79227,0.81739,0.84186,0.66374,0.79227,0.81739,0.83997,0.72349,0.78843,2.64674,0.93896,1.20777,0,0.001505,0.001505,0.001505
